year,co2_ppm
1900,295.7
1901,296.1
1902,296.4
1903,296.8
1904,297.1
1905,297.4
1906,297.7
1907,298.0
1908,298.3
1909,298.6
1910,298.9
1911,299.2
1912,299.5
1913,299.8
1914,300.1
1915,300.4
1916,300.7
1917,301.0
1918,301.3
1919,301.6
1920,301.9
1921,302.2
1922,302.5
1923,302.8
1924,303.1
1925,303.4
1926,303.7
1927,304.0
1928,304.3
1929,304.6
1930,305.0
1931,305.4
1932,305.8
1933,306.2
1934,306.6
1935,307.0
1936,307.4
1937,307.8
1938,308.2
1939,308.6
1940,309.0
1941,309.4
1942,309.8
1943,310.2
1944,310.6
1945,311.0
1946,311.3
1947,311.7
1948,312.1
1949,312.5
1950,312.9
1951,313.2
1952,313.6
1953,313.9
1954,314.2
1955,314.5
1956,314.8
1957,315.1
1958,315.5
1959,315.98
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.37
1967,322.18
1968,323.05
1969,324.62
1970,325.68
1971,326.32
1972,327.46
1973,329.68
1974,330.19
1975,331.13
1976,332.03
1977,333.84
1978,335.41
1979,336.84
1980,338.76
1981,340.12
1982,341.48
1983,343.15
1984,344.87
1985,346.35
1986,347.61
1987,349.31
1988,351.69
1989,353.20
1990,354.45
1991,355.70
1992,356.54
1993,357.21
1994,358.96
1995,360.97
1996,362.74
1997,363.88
1998,366.84
1999,368.54
2000,369.71
2001,371.32
2002,373.45
2003,375.98
2004,377.70
2005,379.98
2006,382.09
2007,384.02
2008,385.83
2009,387.64
2010,390.10
2011,391.85
2012,394.06
2013,396.74
2014,398.81
2015,401.01
2016,404.41
2017,406.76
2018,408.72
2019,411.65
2020,414.21
2021,416.41
2022,418.53
2023,421.08
2024,424.61
